Timestamp,Your preferred/playa name,Title of Event,Event Description,Type of Event,Is your event family friendly?,At what time does the event start,For how long does the event run,What day(s) is the event occurring,Location,All-day events
01/07/2019 21:14:51,Sofia,Pain&Pleasure,Combining the darker energies with playfullness and tantra in a polaritygame using bodies and spanking tools. Explore the forbidden in a safe container with consent. Tantric kink & Tantric spanking,Games,Nooooope 💦,16:00:00,2:00:00,Tuesday 23.,Shame Pain Glory,
07/07/2019 21:35:45,Philipp,Empathic communication workshop,Empathic- or nonviolent communication is a powerful language that opens a door for relating heart to heart by expressing and taking responsibility for your feelings and needs.,Workshop/Class,Yes 🧸,14:00:00,2:00:00,Wednesday 24.,[re]connect,
01/07/2019 23:49:09,Gustaf Tadaa ,A subjective history of The Borderland,"In 2011 we were less than 50 people in a junkyard, 8 years later we are 3250 people. What happened on the way?
The Borderland veteran co-creator and mouth runner extraordinaire, Gustaf Josefsson Tadaa, will share his version of the history of our community.",Workshop/Class,Yes 🧸,16:00:00,1:00:00,Tuesday 23.,Silly Sanctuary,
01/07/2019 21:21:18,AvishaGaya,IntiMeet,Concious touch and connection ,Workshop/Class,Nooooope 💦,13:00:00,2:00:00,Monday 22.,Camp Serendipity,
01/07/2019 21:24:58,AvishaGaya,EmBody,Blindfolded dance movment and touch,Workshop/Class,Nooooope 💦,13:00:00,2:00:00,Friday 26.,Camp Serendipity,
01/07/2019 21:26:42,Ellie,Kiss a stranger - Kissing booth,"We are all friends here. What happens after 2 minutes of eyegazing - scootch or smooch? Say yes, say no, get a kiss. Kissing is not mandatory, but recommended. ",Games,🤷‍♀️,16:00:00,1:00:00,Friday 26.,Shame Pain Glory,
01/07/2019 21:29:24,Lukas,Piano Lounge (LIVE SESSION),Tired of the trance and house? Clean your ear palette with some sophisticated piano. ,DJ/Music,Yes 🧸,21:00:00,3:00:00,Wednesday 24.,Shame Pain Glory,
01/07/2019 21:30:57,Claus,Erotic Hypnose,"Would you like to try the power of Hypnosis and how it can enhance you pleasure ?
Individual sessions - with cloth on.
Ask for Claus in Camp Serendipity",Ritual/Ceremony,Nooooope 💦,13:00:00,0:45:00,"Monday 22., Wednesday 24., Thursday 25., Friday 26., Saturday 27.",Camp Serendipity,Event runs all-day
01/07/2019 21:36:14,Nikolaj Petersen,Dirty talk - Burn edition ,"This workshop is about clearly communicating wants and desires, being brave, courageous and finally curious and open for Dirty Talk!  
Learn an advanced practice on how to use words during sex. Discover how to new words  - that you love to say and your partner(s) love.
Together we'll make fun and easy dirty talk, with a burner edition game!
Come shy or not! ",Workshop/Class,Nooooope 💦,14:00:00,1:00:00,Thursday 25.,Silly Sanctuary,
01/07/2019 21:45:30,Ellie,Make your own flogger,"Here is a sewing circle out of the ordinary! We bring materials that will last for exactly as long as it lasts, you bring your creative minds, and together we can create tools of sensations. We'll bring some examples of what can be made too, as inspiration!",Workshop/Class,Yes 🧸,12:00:00,2:00:00,Wednesday 24.,Shame Pain Glory,
01/07/2019 21:45:01,Alexander Paulski,Discolini,"Discolini is the weird little sister of master Osho's classical kundalini meditation. It includes the same 4 phases (shaking, dancing, observing, lie down), but we change the typical hippie music to disco classics and hi-nrg tunes from 80s. We dance, we scream, we find inner peace and become aware of our chakras. It might get sweaty as f***, so prepare to take your clothes off.",Workshop/Class,🤷‍♀️,13:00:00,1:00:00,Friday 26.,Silly Sanctuary,
01/07/2019 21:50:30,Sofia,Femdom,Bring a partner and practice polarityplay from a feminine core. Involve heart and pussy in your play with both pain and pleasure. To you without partner: wait outside like an obedient little sub and you might just be picked up by a nice dominatrix.,Workshop/Class,Nooooope 💦,12:00:00,2:00:00,Friday 26.,Shame Pain Glory,
01/07/2019 21:52:13,Mini,Silly yoga,"Come and enjoy a playful hour of yoga, in any state you might be in. Had no sleep? Still partying? Want to get the groove on? Everyone is welcome - just as you are! Start today's journey by using breath and movements. This will be a Silly session!",Workshop/Class,Yes 🧸,14:00:00,1:00:00,Wednesday 24.,Shame Pain Glory,
01/07/2019 21:54:19,Robin,A LITTLE PARTY NEVER KILLED NOBODY,"I love large parties, they are so intimate! Cava, silly sensations and all that jazz. Sensation bar open! Come get shocked and spanked, come get some goosebumps. This is Shame Pain Glory Official Party! ",Party/Gathering,🤷‍♀️,19:00:00,8:00:00,Tuesday 23.,Shame Pain Glory,
01/07/2019 22:00:42,Chiara,Touchy-feely yoga,"Some gentle vinyasa yoga to warm up, followed by a few 2-people poses to help us feel our body and with the help of someone else's. ",Workshop/Class,Yes 🧸,14:00:00,2:00:00,Friday 26.,Shame Pain Glory,
01/07/2019 22:02:23,Kimsyvimsy,Panorama tights photoshoot,"Look out for a happy girl with a megaphone. Put on your best tights* and follow me out on the field where  I line you up on a loooong row. Then I take your picture, and taadaa, we´r done! The result will be a long panorama photo. *If it is goes on your legs, and it fits tightly, then it is tights! So fishnet, bodypaint, pantyhoses, whatever, is ok, put it on and join in!",Parade,Yes 🧸,18:00:00,0:30:00,Thursday 25.,THE FIELD,
01/07/2019 22:08:56,Sofia Cerne,Pain & Pleasure and a little Tantric spanking,"An opportunity to dive into the pleasure of pain or/and vice versa? Explore the healing effects of explore the forbidden. A physical workshop to stretch our limits. 
Combining the darker energies with playfullness and tantra in a polarity game using bodies and tools, exploring spanking with a tantric touch. ",Workshop/Class,Nooooope 💦,15:00:00,1:00:00,Friday 26.,Silly Sanctuary,
01/07/2019 22:10:27,Tova Sol,Silly Performance Jam!,"Let out your worst and best ideas as we create a variety of materials together in a free flowing spontaneous manner. We will then play around with it in structured improvisations, creating instant composition performances! Like a collective song or dance only between our bodies the space and our imaginations. Dress up strange or come as you are and let's JAM!
",Workshop/Class,🤷‍♀️,12:00:00,1:30:00,Thursday 25.,Silly Sanctuary,
